"","symbol"
"1033","ZCCHC14"
"1034","PDXK"
"1035","PDGFB"
"1036","WRAP73"
"1037","SELENOK"
"1038","NCOR1"
"1039","ARHGAP32"
"1040","SEPTIN9"
"1041","ZHX3"
"1042","ABCD1"
"1043","AFMID"
"1044","PFAS"
"1045","HACD2"
"1046","MSRB3"
"1047","RBAK"
"1048","KREMEN1"
"1049","SLC45A4"
"1050","CMBL"
"1051","FKBP9"
"1052","FAM120A"
"1053","BICRAL"
"1054","PATJ"
"1055","RBM18"
"1056","CRACD"
"1057","CYP24A1"
"1058","RHOD"
"1059","RBM22"
"1060","CYB5B"
"1061","ABI2"
"1062","EXOC8"
"1063","H2BC12"
"1064","SEMA6B"
"1065","SUPT7L"
"1066","HS6ST2"
"1067","MYO5C"
"1068","FOXL2NB"
"1069","TSSK3"
"1070","GMIP"
"1071","HMMR"
"1072","ARL8A"
"1073","CACNA2D1"
"1074","ADCY5"
"1075","C14orf28"
"1076","MAP4K4"
"1077","DUSP1"
"1078","RBPMS-AS1"
"1079","TAP2"
"1080","FAM43A"
"1081","PPP2CB"
"1082","KIAA1549"
"1083","PCNA"
"1084","NADSYN1"
"1085","TM4SF18"
"1086","KIF20B"
"1087","LPIN1"
"1088","DRAM1"
"1089","SLC25A26"
"1090","NR6A1"
"1091","MIS18BP1"
"1092","ZNF703"
"1093","GADD45G"
"1094","IGFBP1"
"1095","OGDH"
"1096","HIF1A"
"1097","LRP8"
"1098","DPYD"
"1099","MYCBP2"
"1100","TP53INP2"
"1101","TYSND1"
"1102","RHBDD3"
"1103","ARHGEF10L"
"1104","ABCB1"
"1105","TUSC2"
"1106","SRSF8"
"1107","HAT1"
"1108","LINC02331"
"1109","MRPS27"
"1110","LYN"
"1111","TGFB2-AS1"
"1112","ANP32B"
"1113","NABP1"
"1114","IFT140"
"1115","USF1"
"1116","ZNF286B"
"1117","SIN3A"
"1118","AMZ2P1"
"1119","WNT5B"
"1120","GOLM2"
"1121","VPS53"
"1122","TRIM2"
"1123","TANC1"
"1124","TIMELESS"
"1125","LMBRD1"
"1126","ALS2CL"
"1127","SPECC1"
"1128","DDB2"
"1129","CLDN2"
"1130","NLN"
"1131","ERMP1"
"1132","PRKCQ-AS1"
"1133","LCLAT1"
"1134","THSD4"
"1135","TBX3"
"1136","TRIM44"
"1137","CTR9"
"1138","SDK1"
"1139","ZNF608"
"1140","ARHGAP39"
"1141","POC1A"
"1142","RALY"
"1143","ATG12"
"1144","PHF2"
"1145","IGFBP5"
"1146","PALS2"
"1147","ECE1"
"1148","DPF2"
"1149","ACTB"
"1150","TRIM11"
"1151","MFSD5"
"1152","GOLM1"
"1153","HLA-B"
"1154","PAQR4"
"1155","MKNK2"
"1156","PRKDC"
"1157","MRC2"
"1158","ZC3H12A"
"1159","HNRNPUL1"
"1160","FBRS"
"1161","CHAF1A"
"1162","KANSL2"
"1163","GPX1"
"1164","TJAP1"
"1165","EXO5"
"1166","DPP4"
"1167","LMBR1"
"1168","PSIP1"
"1169","NCAPD3"
"1170","ZNF211"
"1171","NUMB"
"1172","FARS2"
"1173","MALT1"
"1174","JARID2"
"1175","FBXL17"
"1176","CD9"
"1177","EEF2K"
"1178","LTBP1"
"1179","STAG2"
"1180","MAP2K1"
"1181","FIGN"
"1182","ZNF408"
"1183","DINOL"
"1184","FDFT1"
"1185","SNHG17"
"1186","SLC31A2"
"1187","PIK3AP1"
"1188","RNF114"
"1189","FANCD2"
"1190","LRRC8E"
"1191","LMNB2"
"1192","PSMB8"
"1193","SCNM1"
"1194","POLR2H"
"1195","PDE8A"
"1196","CA2"
"1197","IGF2BP3"
"1198","CENPK"
"1199","ATMIN"
"1200","PDS5A"
"1201","AURKB"
"1202","ZNNT1"
"1203","C14orf132"
"1204","AMZ2"
"1205","SLU7"
"1206","ST7"
"1207","RIOK2"
"1208","WNK2"
"1209","GADD45A"
"1210","SCN3B"
"1211","ZCCHC3"
"1212","ZFHX3"
"1213","PLEKHO2"
"1214","PRIM1"
"1215","BRI3BP"
"1216","MMP24"
"1217","SMARCA4"
"1218","ANPEP"
"1219","ACIN1"
"1220","TRIP6"
"1221","CARHSP1"
